Project ID,Project Name,State,District,Constituency,Category,Agency,Sanctioned Amount,Released Amount,Expenditure,Physical Progress,Status,Start Date,Expected Completion,Actual Completion
MPL2025001,Construction of rural road from Village Rampur to NH-58,Uttar Pradesh,Agra,Agra,Roads,PWD Uttar Pradesh,2500000,2500000,2310000,94,In Progress,2024-06-01,2025-03-31,
MPL2025002,Installation of solar street lights in Sector 12,Rajasthan,Jaipur,Jaipur,Electrification,RUVNL,850000,850000,850000,100,Completed,2024-04-10,2024-12-31,2024-12-15
MPL2025003,Renovation of community health centre,Madhya Pradesh,Bhopal,Bhopal,Health,District Health Dept,3200000,1600000,1520000,47,In Progress,2024-08-15,2025-06-30,
MPL2025004,Construction of pucca drains in ward 5,Maharashtra,Pune,Pune,Drainage,PMC,1200000,1200000,1200000,100,Completed,2024-03-01,2024-10-01,2024-09-20
MPL2025005,Upgradation of primary school building,Gujarat,Ahmedabad,Ahmedabad West,Education,Education Dept Gujarat,1800000,1800000,950000,52,In Progress,2024-07-01,2025-04-30,
MPL2025006,Bore well installation in Gram Panchayat Sukhpur,Rajasthan,Barmer,Barmer,Drinking Water,PHED Rajasthan,650000,650000,650000,100,Completed,2024-02-20,2024-08-31,2024-07-10
MPL2025007,Construction of footpath and road widening,Delhi,New Delhi,New Delhi,Roads,NDMC,4500000,4500000,4200000,93,In Progress,2024-09-01,2025-05-31,
MPL2025008,Plantation drive and park development,Karnataka,Bangalore,Bangalore North,Environment,BBMP,720000,360000,0,0,Pending,,,
MPL2025009,Distribution of water tanks in tribal area,Chhattisgarh,Raipur,Raipur,Drinking Water,CGMSC,980000,980000,980000,100,Completed,2023-11-01,2024-05-31,2024-04-28
MPL2025010,Repair and maintenance of govt school toilets,Tamil Nadu,Chennai,Chennai North,Sanitation,School Edu Dept TN,550000,550000,480000,87,In Progress,2024-10-01,2025-02-28,
MPL2025011,Construction of check dam for irrigation,Punjab,Ludhiana,Ludhiana,Irrigation,Punjab Agri Dept,2800000,2800000,2900000,100,Completed,2023-08-01,2024-03-31,2024-03-10
MPL2025012,Mobile medical van for rural outreach,Haryana,Gurugram,Gurugram,Health,HSVP,1500000,1500000,1450000,96,In Progress,2024-05-15,2025-01-31,
MPL2025013,Construction of cremation ground shed,Uttar Pradesh,Varanasi,Varanasi,Civic Amenities,Varanasi MC,680000,680000,680000,100,Completed,2024-01-10,2024-07-31,2024-06-25
MPL2025014,Installation of CCTV surveillance in market area,Telangana,Hyderabad,Hyderabad,Security,GHMC,2100000,2100000,1980000,94,In Progress,2024-08-01,2025-03-31,
MPL2025015,Upgradation of anganwadi centre,Bihar,Patna,Patna Sahib,Education,WCD Bihar,420000,420000,420000,100,Completed,2024-02-01,2024-08-31,2024-08-20
MPL2025016,Flood control embankment repair,Assam,Guwahati,Gauhati,Flood Control,Water Resource Dept Assam,5500000,2750000,2600000,47,In Progress,2024-09-15,2025-09-30,
MPL2025017,Construction of bus shelter,Kerala,Thiruvananthapuram,Thiruvananthapuram,Transport,KSRTC,380000,380000,355000,93,In Progress,2024-10-01,2025-01-31,
MPL2025018,Repair of taluka court building,Maharashtra,Nashik,Nashik,Infrastructure,PWD Maharashtra,1650000,1650000,1580000,95,In Progress,2024-06-15,2025-02-28,
MPL2025019,Construction of sports ground leveling,Himachal Pradesh,Shimla,Shimla,Sports,Youth Services HP,920000,920000,920000,100,Completed,2023-12-01,2024-06-30,2024-06-15
MPL2025020,e-Library setup in rural block,Odisha,Bhubaneswar,Bhubaneswar,Education,School Edu Dept Odisha,750000,750000,680000,90,In Progress,2024-07-01,2025-01-31,
