Work ID,Work Details,State Name,District Name,Amount Sanctioned,Amount Spent,Physical Progress %,Work Status,Implementing Agency,Work Type,Date Started,Target Completion
WK-2025-A001,Laying of CC road in Gram Panchayat Sitapur,Uttar Pradesh,Lucknow,1800000,1620000,90,In Progress,PWD UP,Roads,01/07/2024,31/12/2024
WK-2025-A002,Installation of hand pumps for drinking water,Rajasthan,Jodhpur,450000,450000,100,Completed,PHED Rajasthan,Drinking Water,15/03/2024,30/09/2024
WK-2025-A003,Renovation of primary health centre - 3 rooms,Madhya Pradesh,Indore,2900000,1400000,48,In Progress,Health Dept MP,Health,20/08/2024,30/06/2025
WK-2025-A004,Construction of community hall with kitchen,Maharashtra,Nagpur,3400000,3400000,100,Completed,Nagpur MC,Civic Amenities,01/01/2024,30/09/2024
WK-2025-A005,Solar pump irrigation scheme for farmers,Gujarat,Surat,1200000,580000,48,In Progress,GEDA,Agriculture,01/09/2024,28/02/2025
WK-2025-A006,Bituminous road repair in 5 wards,Delhi,South Delhi,5800000,5500000,94,In Progress,Delhi PWD,Roads,15/06/2024,31/03/2025
WK-2025-A007,Construction of boundary wall for girls school,Haryana,Faridabad,680000,680000,100,Completed,Education Dept Haryana,Education,01/02/2024,31/07/2024
WK-2025-A008,Drinking water pipeline extension to villages,Punjab,Amritsar,2200000,2050000,93,In Progress,Punjab Jal Supply,Drinking Water,01/05/2024,31/01/2025
WK-2025-A009,Construction of toilets in 3 schools,Tamil Nadu,Madurai,760000,760000,100,Completed,Edu Dept TN,Sanitation,10/11/2023,30/04/2024
WK-2025-A010,Upgradation of fish market shed,Kerala,Kozhikode,850000,400000,47,In Progress,Fish Dept Kerala,Livelihood,01/10/2024,30/04/2025
WK-2025-A011,Construction of elevated water tank 2 lakh litre,Bihar,Gaya,3100000,3100000,100,Completed,PHED Bihar,Drinking Water,01/03/2023,28/02/2024
WK-2025-A012,LED street lighting in 12 villages,Karnataka,Mysore,920000,890000,96,In Progress,BESCOM,Electrification,01/08/2024,31/01/2025
WK-2025-A013,Construction of culvert on forest road,Himachal Pradesh,Kangra,1450000,1310000,90,In Progress,PWD HP,Roads,15/07/2024,28/02/2025
WK-2025-A014,Repair of irrigation channel Km 0 to 3,Punjab,Patiala,980000,980000,100,Completed,Irrigation Punjab,Irrigation,01/06/2023,30/11/2023
WK-2025-A015,Setting up rural ITI skill center,Odisha,Cuttack,2600000,1200000,46,In Progress,Skill Dev Odisha,Skill Development,01/09/2024,30/08/2025
WK-2025-A016,"Plantation of 5000 trees, boundary fencing",Assam,Dibrugarh,620000,590000,95,In Progress,Forest Dept Assam,Environment,01/07/2024,31/12/2024
WK-2025-A017,Construction of waiting shed at bus stand,Telangana,Warangal,340000,340000,100,Completed,TSRTC,Transport,01/04/2024,30/08/2024
WK-2025-A018,Renovation of block level library building,West Bengal,Hooghly,880000,400000,45,In Progress,Panchayat WB,Education,15/10/2024,30/06/2025
WK-2025-A019,Construction of playfield for youth club,Chhattisgarh,Bilaspur,540000,540000,100,Completed,Youth Welfare CG,Sports,01/01/2024,30/06/2024
WK-2025-A020,Water ATM kiosk in 4 panchayats,Rajasthan,Bikaner,1100000,520000,47,In Progress,PHED Rajasthan,Drinking Water,01/10/2024,31/03/2025
