Sr No,Work Description,District,Sanction Amount,Progress,Remarks,XYZ_Column,InvalidDate,NegativeAmount
1,Construction of drain,Agra,500000,110,Some remark,random_data_1,not-a-date,-10000
2,,Jaipur,,,Missing project name,,25/13/2024,0
3,Road repair work,Lucknow,abc_invalid,50%,Normal work,random_data_2,2024-01-15,200000
4,School building,,1200000,30,,random_data_3,,1500000
5,Water tank,Bhopal,2500000,2500001,Amount spent exceeds sanction,random_data_4,2024-13-01,-5000
6,Community hall,Nashik,800000,75,,random_data_5,2024-06-30,750000
7,Anganwadi building,Pune,450000,90,,random_data_6,2025-02-28,420000
8,Road work,,,,,random_data_7,,
9,Health centre,Nagpur,1800000,45,,random_data_8,2024-09-15,850000
10,Park development,Mumbai,650000,0,,random_data_9,2024-11-20,0
